state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,3,190,29053,188,23705,209,947,210,2661,178,219,182,170,174,913,194,555,184,22,194,9,184,3326,166,0.73940729,188,21482,29053,0.039949378,209,947,23705,0.029084776,188,845,29053,0.063439567,158,211,3326,0.768490679,161,2556,3326,9/25/2020
PR,3,69,9599,69,5268,69,358,69,450,69,68,68,51,68,320,68,209,68,38,68,6,68,649,69,0.548807167,69,5268,9599,0.067957479,69,358,5268,0.037295552,69,358,9599,0.104776579,68,68,649,0.693374422,69,450,649,9/25/2020
RI,4,13,2174,13,1916,13,103,13,135,13,9,13,8,13,102,13,97,13,1,13,1,13,152,13,0.881324747,13,1916,2174,0.053757829,13,103,1916,0.047378105,13,103,2174,0.059210526,13,9,152,0.888157895,13,135,152,9/25/2020
SC,6,76,10189,82,7767,82,697,82,908,78,175,78,152,78,696,80,553,80,1,80,1,80,1311,77,0.762292669,82,7767,10189,0.089738638,82,697,7767,0.068407106,82,697,10189,0.133485889,76,175,1311,0.691838291,77,907,1311,9/25/2020
SD,0,58,2085,56,1448,60,203,60,85,51,27,49,26,48,166,57,147,57,36,57,34,57,89,44,0.57793765,56,1205,2085,0.14019337,60,203,1448,0.081534772,56,170,2085,0.191011236,40,17,89,0.569620253,42,45,79,9/25/2020
TN,10,114,17402,117,11811,117,1043,118,1524,117,265,112,248,112,966,116,842,115,74,116,68,115,1909,118,0.696717906,114,11739,16849,0.085684611,109,990,11554,0.060384993,106,985,16312,0.140837412,107,259,1839,0.818034557,115,1515,1852,9/25/2020
TX,123,556,66926,568,44329,570,3988,573,5047,530,1104,537,998,536,3906,560,3223,554,73,560,50,554,6528,502,0.666461122,566,44313,66490,0.088856749,569,3932,44251,0.059478219,567,3976,66848,0.151132337,494,981,6491,0.749036535,500,4859,6487,9/25/2020
UT,5,50,5103,49,2755,51,237,51,320,42,72,42,70,42,218,48,195,48,6,48,6,48,555,39,0.525377229,49,2681,5103,0.086025408,51,237,2755,0.046443269,49,237,5103,0.122522523,39,68,555,0.547747748,38,304,555,9/25/2020
VA,22,98,17367,92,10868,93,1021,97,1244,95,218,95,145,95,1014,95,558,95,7,95,3,95,1839,95,0.622675189,92,10814,17367,0.093723927,92,1011,10787,0.05632497,91,972,17257,0.11703865,94,215,1837,0.673924878,94,1238,1837,9/25/2020
VI,0,2,188,2,71,2,4,2,9,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.377659574,2,71,188,0.056338028,2,4,71,0.021276596,2,4,188,0.05,2,1,20,0.45,2,9,20,9/25/2020
